manifest,arm,tag,formula,candidate_status,seed,site_index,initial_metal,eta_V,pls,dG_OH,dG_O,dG_OOH,OH_m_o_A,OH_tier,OH_h_location,OH_category,O_m_o_A,O_tier,O_category,OOH_m_o_A,OOH_tier,OOH_o_o_A,OOH_o_o_class,OOH_h_location,OOH_h_carrier,OOH_binding_O,OOH_binding_metal,OOH_category,OOH_slab_rms_A,OOH_slab_max_A,unconverged_states,weak_states,reconstructed_states,pathway,all_states_intact,all_states_adsorbate_intact
mpa0__Ni31Cr29Cu5Mn35,CENSUS-1,mpa0,Ni31Cr29Cu5Mn35,evaluated,0,0,Cr,0.9780789066094675,1,2.2080789066094675,3.593138794498177,2.7388511391419583,2.0052145794410547,bound,ON_ADSORBATE,NORMAL,1.591920162376824,bound,RECONSTRUCTION,3.400019495437414,desorbed,1.2299356375432444,O2_LIKE,H_TRANSFERRED,slab_O,proximal_O,Ni,DESORPTION,0.08258890769723118,0.35379803260877163,0,0,1,undefined,False,False
mpa0__Ni31Cr29Cu5Mn35,CENSUS-1,mpa0,Ni31Cr29Cu5Mn35,evaluated,0,1,Ni,0.46852056332653635,4,1.1049914912786911,1.7277208679436493,3.2214794366734636,2.8461201709395527,weak,ON_ADSORBATE,MIGRATION,4.007112004030576,desorbed,DESORPTION,3.5702054802401384,desorbed,1.2289094546017438,O2_LIKE,H_TRANSFERRED,slab_O,distal_O,Ni,DESORPTION,0.10737124219280833,0.4356041928430053,0,1,1,undefined,False,False
mpa0__Ni31Cr29Cu5Mn35,CENSUS-1,mpa0,Ni31Cr29Cu5Mn35,evaluated,0,2,Ni,1.099828477418809,2,1.9978574888957845,4.3276859663145935,3.4375469285080285,1.914434076490308,bound,ON_ADSORBATE,NORMAL,1.8069987359246837,bound,NORMAL,3.5081305244109715,desorbed,1.2369520891917145,O2_LIKE,H_TRANSFERRED,slab_O,distal_O,Ni,DESORPTION,0.08919821382864147,0.31532696304146474,0,0,0,undefined,False,False
mpa0__Ni31Cr29Cu5Mn35,CENSUS-1,mpa0,Ni31Cr29Cu5Mn35,evaluated,0,3,Mn,1.0938305629316272,2,1.718948267172403,4.04277883010403,3.40669912312069,1.8519142528833155,bound,ON_ADSORBATE,NORMAL,1.8256909377927297,bound,NORMAL,3.3428176049515215,desorbed,1.2384335823446706,O2_LIKE,H_TRANSFERRED,slab_O,distal_O,Mn,DESORPTION,0.08383981112723148,0.2034231800678398,0,0,0,undefined,False,False
mpa0__Ni31Cr29Cu5Mn35,CENSUS-1,mpa0,Ni31Cr29Cu5Mn35,evaluated,1,0,Cr,0.4399960638886986,1,1.6699960638886986,3.169042760593104,4.470193980404646,1.864409794532657,bound,ON_ADSORBATE,NORMAL,1.5907114088768015,bound,RECONSTRUCTION,1.9710914992222912,bound,1.3797783290461472,OOH_LIKE,ON_ADSORBATE,terminal_O,proximal_O,Cr,NORMAL,0.08563741014412707,0.23959389083084634,0,0,1,cus,False,True
mpa0__Ni31Cr29Cu5Mn35,CENSUS-1,mpa0,Ni31Cr29Cu5Mn35,evaluated,1,1,Ni,1.3371918852495819,4,1.9226373346425825,1.7035185547491418,2.352808114750418,1.8938588373917449,bound,ON_ADSORBATE,NORMAL,3.1562811518493326,desorbed,DESORPTION,2.966986646935122,weak,1.2687799660364885,O2_LIKE,H_TRANSFERRED,slab_O,proximal_O,Mn,DISSOCIATION,0.05812909107331491,0.24939172252663094,0,1,0,bridge,False,False
mpa0__Ni31Cr29Cu5Mn35,CENSUS-1,mpa0,Ni31Cr29Cu5Mn35,evaluated,1,2,Cr,0.4945995053835457,2,1.463173290832652,3.1877727962161977,4.427631360120872,1.8225451544906153,bound,ON_ADSORBATE,NORMAL,1.5911207435204946,bound,RECONSTRUCTION,1.969849449960394,bound,1.3774992760202012,OOH_LIKE,ON_ADSORBATE,terminal_O,proximal_O,Cr,NORMAL,0.059590625226585286,0.18064367420434646,0,0,1,cus,False,True
mpa0__Ni31Cr29Cu5Mn35,CENSUS-1,mpa0,Ni31Cr29Cu5Mn35,evaluated,1,3,Cr,1.4147997253705862,4,2.235565035979301,3.7382767838164206,2.2752002746294138,1.8822472863878033,bound,ON_ADSORBATE,NORMAL,1.5863547577266544,bound,RECONSTRUCTION,3.569789797451988,desorbed,1.2311318721344626,O2_LIKE,H_TRANSFERRED,slab_O,proximal_O,Ni,DESORPTION,0.052482416311157805,0.24723178885580152,0,0,1,undefined,False,False
mpa0__Ni31Cr29Cu5Mn35,CENSUS-1,mpa0,Ni31Cr29Cu5Mn35,evaluated,2,0,Mn,1.0783414717749036,2,1.5746159259113832,3.882957397686287,3.6259997088685068,1.8681356609887778,bound,ON_ADSORBATE,NORMAL,1.8093982659687742,bound,NORMAL,3.737938839279226,desorbed,1.2397960030688515,O2_LIKE,H_TRANSFERRED,slab_O,distal_O,Ni,DESORPTION,0.07526893711820601,0.22170531078089667,0,0,0,undefined,False,False
mpa0__Ni31Cr29Cu5Mn35,CENSUS-1,mpa0,Ni31Cr29Cu5Mn35,evaluated,2,1,Mn,1.1136616423506478,2,1.7619815503622598,4.105643192712908,3.08124141451964,1.8791335540625584,bound,ON_ADSORBATE,NORMAL,1.8736260543538463,bound,NORMAL,3.761392320571777,desorbed,1.2256302848045382,O2_LIKE,H_TRANSFERRED,slab_O,distal_O,Ni,DESORPTION,0.08453886573894281,0.2683770734670935,0,0,0,undefined,False,False
